PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Tyler Bass,BUF,K,12,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,8.03,8.03,9,9,9,0,0,0,0,0,0,0,0,0,0.97,0.97,0.97
Zane Gonzalez,ARI,K,12,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,7.56,7.56,5,5,5,0,0,0,0,0,0,0,0,0,-2.56,-2.56,-2.56
Nick Folk,NE,K,12,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,7.4,7.4,8,8,8,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6
Joey Slye,CAR,K,12,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,7.65,7.65,9,9,9,0,0,0,0,0,0,0,0,0,1.35,1.35,1.35
Ryan Succop,TB,K,12,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,7.45,7.45,6,6,6,0,0,0,0,0,0,0,0,0,-1.45,-1.45,-1.45
Robbie Gould,SF,K,12,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,11,11,11,0,0,0,0,0,0,0,0,0,3.75,3.75,3.75
Mike Badgley,LAC,K,12,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,6.85,6.85,3,3,3,0,0,0,0,0,0,0,0,0,-3.85,-3.85,-3.85
Randy Bullock,CIN,K,12,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,6.68,6.68,5,5,5,0,0,0,0,0,0,0,0,0,-1.68,-1.68,-1.68
Brandon McManus,DEN,K,12,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,5.76,5.76,3,3,3,0,0,0,0,0,0,0,0,0,-2.76,-2.76,-2.76
Stephen Gostkowski,TEN,K,12,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,6.5,9,9,9,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5
